orthography,ipa
ومابغا,wmaːbɣə
اي,ʔj:
احد,əħəd
يوقف,ju:gəf
فيه,fi:
وانا,wənə
ماراح,ma:ɾa:ħ
اوقفلك,əwgəflək
فيه,fi:
ولا,wel:ə
راح,ɾa:ħ
اقدر,əgdəɾ
امنعك,əmnəʕək
لكن,la:kɪn
انا,ənə
بدي,bɪd:ə
اقولك,əgʊl:ək
نصيحة,nəsˤiːħə
لا,laː
ي,jə
سماعيل,smaːʕiːl
لا,la:
يخويا,jəxu:jə
الله,aɫ:ɔ
يهديك,jɪhdi:k
و,w
يصلحك,ɪjɪsˤlɪħʌk
لاتسوي,la:
ف,tsəwːɪ
الناس,fɪnːaːs
وفنفسك,wʊfnəfsək
كده,kɪdə
خد,xʊd
يا,ja:
سمبل,sʊmbʊl
اديهم,ədːiːhʊm
الفلوس,əlfəluːs
اللي,əl:i
يبغوها,jɪbɣuːhə
ازا,ɪzə
كان,ka:n
بدهم,bɪdəhʊm
الدنيا,ədːɪnjə
اما,əmːə
ازا,ɪzə
كان,ka:n
بدهم,bɪdːəhʊm
الآخرة,əlʔ̃a:xɾə
فالمفروض,fəlməfɾuːdˤ
يعتقوك,jɪʕtɪguːk
لوجه,lwəʒhɪ
الله,ɪla:
ويعتقوا,wɪjɪʕtɪgʊ
الناس,ənːaːs
كمان,kəma:n
حسبي,ħʌsbɪ
الله,aɫ:ɔ
ونعم,wənɪʕmə
الوكيل,əlwəki:l
حسبي,ħʌsbɪ
الله,aɫ:ɔ
ونعم,wənɪʕmə
الوكيل,əlwəki:l
مو,mʊ
معقول,məʕgu:l
الكلام,əlkəla:m
دا,da
ايش,e:ʃ
اللي,əl:i
مو,mu
معقول,məʕgu:l
هدي,ha:dɪ
فلاوانات,fələwaːnaːt
من,mɪn
عيلة,ʕeːlət
السيد,əsːəjːɪd
باشا,baːʃə
فيها,fi:hə
يكون,jɪku:n
لعب,lɪʕɪb
لا,la
لا,la
هي,hi:j:ə
ما,ma:
فيها,fi:hə
لعب,lɪʕɪb
ولا,wələ
شي,ʃəɪ
بس,bəs
انتا,ɪntə
غير,ɣe:ɾ
عن,ʕʌn
العمدة,alʕʊmdə
التانيين,ətːaːniːn
وخالي,wʊxa:lɪ
عبدالله,ʕəbdˤʌɫ:ʌ
ماراح,ma:ɾa:ħ
يسكتلهم,jɪskʊtləhʊm
ماهي,ma:hɪ
المشكلة,lmʊʃkɪlə
من,mɪn
خالك,xa:lɪk
عبدالله,ʕəbdʌɫ:ʌ
هو,hʊw:ə
اللي,əl:i
قلي,gʌl:i
الخبر,əlxʌbəɾ
وطش,wʊtˤʌʃ:
الخبر,əlxʌbəɾ
في,fɪ
وجهي,wəʒhɪ
كدا,kɪdə
يعني,jeʕnə
حتى,ħət:ə
ماراعى,maːɾaːʕə
النسب,ənːəsəb
اللي,ɪl:i
بيننا,be:nənə
وعلى,wʕələ
قولك,go:lɪk
انو,ɪn:u
انتا,ɪntə
غالي,ɣaːlɪ
عند,ʕɪnd
خالي,xa:lɪ
عبدالله,ʕəbdʌɫ:ʌ
ولا,wələ
غالي,ɣaːlɪ
ولا,wələ
شي,ʃei
تصدق,tɪtˤəd:ɪg
ولا,wel:ə
احلفلك,əħlɪflək
ترا,təɾə
غلاتك,ɣəla:tək
من,mɪn
غلاتي,ɣəla:tɪ
عندهم,ʕɪndʌhʊm
بلكن,bʌlkɪn
لساني,lɪsa:nɪ
يفرق,jɪfɾɪg
عن,ʕʌn
لسانك,lɪsa:nək
شويا,ʃwej:ə
عدات,ʕɪda:t
ايش,e:ʃ
تقصدي,tɪgsˤʊdɪ
يعني,jeʕnə
بكرة,bʊkɾə
من,mɪn
الفجرية,əlfəʒɾi:j:ə
اروحلو,əɾʊħlʊ
واكتلو,wəkʊt:əlʊ
الهرجة,lhəɾdʒə
ولا,welə
اجيك,ədʒiːk
بإزن,bɪʔɪzɪn
واحد,wa:ħɪd
احد,əħəd
الا,ɪl:ə
وانا,wənə
جايبالك,dʒeɪba:lək
الخبر,əlxʌbəɾ
اللي,əl:i
يريح,jɪɾej:ɪħ
بالك,ba:lək
الله,aɫ:ɔhʊ
اكبر,əkbəɾ
ايي,ej
الله,aɫ:ɔ
اكبر,əkbəɾ
ايوا,i:wə
بس,bəs
ارجوكي,əɾdʒuːkɪ
لما,ləm:ə
تروحيلو,tɾuːħi:lʊ
اصحك,əsˤħɪk
تقولي,tɪguːlɪ
انو,ɪn:u
ابو,əbu
سعد,səʕəd
هو,hʊw:ə
اللي,əl:i
ارسلني,əɾsəlnɪ
ترا,tʌɾə
عيبة,ʕe:bə
فحقي,fħəg:ɪ
يهوه,jəho:
ترا,tʌɾə
ازعل,əzʕəl
منك,mɪn:ʌk
لا,la
لا,la
تكفى,təkfə
ايوا,i:wə
يعني,jeʕnə
هي,hi:jə
هدي,ha:də
حاجة,ħa:dʒə
تفوتني,tfuːtənɪ
انا,ənə
يهوه,jəho:
بس,bəs
المهم,almʊhɪm
انتا,ɪntə
صفيلي,sˤəfːiːlɪ
بالك,ba:lək
شويا,ʃwej:ə
حاظر,ħaːðˤɪɾ
مو,muː
عند,ʕɪnd
جميلة,dʒəmiːlə
فرفشة,fəɾfəʃə
وروقان,wɾəwəgaːn
والظحكة,wəðˤːɪħkə
من,mɪn
هنا,hɪnə
لهنا,lhɪnə
وعندي,wʕɪndɪ
نكد,nəkəd
وهموم,whmu:m
وعكننة,wʕəknənə
الله,aɫ:ɔ
يعكنن,jʕənɪn
عليها,ʕəle:hə
واقفتلي,waːgfətlɪ
زي,zej:
اللقمة,əlːʊgmə
ف,fɪ
الزوء,zːo:ʔ
سلامة,səlaːmət
زورك,zo:ɾɪk
ي,jə
ست,sɪt:
الكل,əlkʊl
ي,jə
حبيبة,ħəbiːbət
القلب,əlgəlb
انتي,ɪntɪ
شوفي,ʃuːfɪ
لو,ləw
جبتيلي,dʒɪbtiːlɪ
الخبر,lxʌbəɾ
اللي,əl:i
ابغاه,əbɣaːh
واحبو,waːħʊbːʊ
ايوا,i:wə
صدقيني,sˤʌdːɪgiːnɪ
لا,la:
انسيكي,nəsːiːkɪ
الهم,əlhəm
والغم,wəlɣəm
والنكد,wənːəkəd
ولا,welə
يكون,jku:n
خاطرك,xa:tˤɾɪk
الا,ɪl:ə
زي,zej
العسل,əlʕəsəl
نشوف,nɪʃuːf
ابشري,əbʃɪɾɪ
ااكلك,əʔ̃kːɪlɪk
رمان,ɾʊmːaːn
رمان,ɾʊmːaːn
من,mɪn
اللي,əl:i
يحبو,jħʊbːʊ
قلبك,gəlbɪk
قولي,guːlɪ
بسم,bɪsm
الله,əl:a:
قولي,guːlɪ
بسم,bɪsm
ال,əl:
بموية,bɪmoːjət
الورد,əlwəɾd
قولي,guːlɪ
بسم,bɪsm
الله,əl:a:
طيب,tˤej:ɪb
بسم,bɪsm
الله,əl:a:
اللهم,əɫːɔhʊmːə
صلي,sˤʌlːɪ
ع,ʕə
النبي,nːəbɪ
ماتوقعت,ma:twəgːəʕt
خالي,xa:lɪ
درويش,deɾwiʃ
بيسوي,biːsəwːɪ
معانا,mʕa:nə
كدا,kɪdə
مايسوي,maːjsəwːɪ
معانا,mʕa:nə
كل,kʊl
اللي,əl:i
سواه,səwːaː
خاصة,xa:sˤ:ətən
معاك,məʕa:k
انتا,ɪntə
يبويا,jebujə
لنك,lənːək
بزرة,bɪzɾə
واهبل,wəhbəl
ومنتا,wməntə
فاهم,fa:hɪm
شي,ʃei
احنا,ɪħnə
ايش,e:ʃ
استفدنا,əstəfədnə
ي,jə
ولدي,wələdɪ
نوار,nəw:a:ɾ
ايش,e:ʃ
استفدنا,əstəfədnə
حالنا,ħaːlənə
واقف,wa:gɪf
وخصارة,wxəsˤaːɾə
وكلو,wkʊlːʊ
من,mɪn
طولة,tˤuːlət
لسانك,lɪsa:nək
وقلة,wgɪlːət
عقلك,ʕəglək
يبويا,jebujə
انا,ənə
غلطان,ɣəltˤaːn
انا,ənə
غلطان,ɣəltˤaːn
واعترف,wəʕtəɾɪf
بشي,bɪʃːəɪ
دا,da
حاسبني,ħaːsɪbnɪ
يبويا,jebujə
يبويا,jebujə
يبويا,ħaːsɪbnɪ
حاسبني,jebujə
عاتبني,ʕaːtɪbnɪ
سوي,səwːɪ
اللي,l:i
تسويه,tsəwːiː
ولا,welə
تكون,tku:n
مكسور,məksuːɾ
يبويا,jebujə
الله,aɫ:ɔ
يخليك,jxli:k
لاتكون,la:tku:n
مكسور,məksuːɾ
يبويا,jebujə
يولدي,jewələdɪ
انا,ənə
ماقدر,ma:gdəɾ
احاسبك,əħaːsbək
انا,ənə
عارف,ʕa:ɾɪf
انك,ɪn:ʌk
انتا,ɪntə
واقف,wa:gɪf
عشاني,ʕəʃaːnɪ
عشان,ʕəʃa:n
تشيل,tɪʃi:l
حمل,ħəml
السنين,əs:ɪni:n
هدي,ha:də
كلها,kʊl:əhə
من,mɪn
فوق,fo:g
ضهري,dˤəhɾɪ
بس,bəs
يولدي,jewʌlədɪ
مو,mu:
بهدي,bha:dɪ
الطريقة,tˤːɾiːgə
الدنيا,əd:ʊnjə
هدي,ha:də
فيها,fiːhə
ناس,na:s
تزلم,tɪzˤlɪm
وناس,wna:s
تنظلم,tɪnðˤəlɪm
انا,ənə
دايما,da:jmən
ادعي,ədʕɪ
ربنا,ɾəbːənə
يولدي,jewʌlədɪ
ي,jə
رب,ɾəb
ما,mə
اكون,ʔku:n
زالم,zˤa:lɪm
ولا,welə
اكون,ʔku:n
مفتري,mʊftəɾɪ
وحتى,wħətːə
لو,ləw
احد,əħəd
زلمني,zˤʌləmnɪ
ادعي,ədʕɪ
انو,ɪn:u
ربي,ɾəbːɪ
ياخدلي,jaːxʊdlɪ
